WIND_SPEED,YEAR,STATE,ECONOMIC_LOSS,CASUALITIES
240,1970,ASSAM,6640000,500
165,1971,ODISHA,714000,100
260,1991,TRIPURA,7900000,1386
145,1996,ANDHRA PRADESH,802000,107
165,1998,GUJARAT,300000,173
259,1999,ODISHA,8440000,1500
260,1999,ODISHA,7400000,2000
100,2002,WEST BENGAL,107400,173
100,2004,MAHARASHTRA,114000,80
65,2005,MADHYA PRADESH,51400,273
85,2005,TAMIL NADU,77500,90
185,2006,ANDAMAN AND NICOBAR ISLANDS,1050000,267
260,2007,WEST BENGAL,8780000,1000
95,2007,WEST BENGAL,94000,200
65,2008,ANDHRA PRADESH,20000,100
200,2008,MANIPUR,1540000,1387
85,2008,TAMIL NADU,80000,204
75,2008,WEST BENGAL,81400,200
85,2008,WEST BENGAL,58910,78
95,2009,MAHARASHTRA,90000,20
110,2009,WEST BENGAL,100000,339
100,2010,ANDAMAN AND NICOBAR ISLANDS,100400,118
75,2010,MADHYA PRADESH,21400,376
120,2010,TAMIL NADU,421000,65
165,2011,KERALA,350000,312
85,2012,KERALA,170000,75
55,2013,ANDAMAN AND NICOBAR ISLANDS,65000,16
140,2013,ANDHRA PRADESH,230400,400
130,2013,ANDHRA PRADESH,100000,11
220,2013,ODISHA,4260000,45
215,2014,ANDHRA PRADESH,1730000,700
85,2014,ASSAM,98000,70
125,2014,ODISHA,423000,421
75,2015,ODISHA,78700,200
85,2015,TAMIL NADU,232000,430
155,2016,ANDAMAN AND NICOBAR ISLANDS,338000,208
75,2016,KERALA,90100,70
110,2016,ODISHA,213000,135
75,2016,TAMIL NADU,115000,250
75,2017,ANDAMAN AND NICOBAR ISLANDS,89200,50
155,2017,KERALA,520000,318
110,2017,NAGALAND,337000,135
95,2018,ANDAMAN AND NICOBAR ISLANDS,95100,10
130,2018,ANDAMAN AND NICOBAR ISLANDS,149100,52
100,2018,WEST BENGAL,100000,100
195,2018,WEST BENGAL,2000000,309
250,2019,ANDHRA PRADESH,3890000,890
185,2019,GUJARAT,670000,345
185,2019,GUJARAT,1400000,304
240,2019,KARNATAKA,7000000,800
140,2019,MAHARASHTRA,350000,345
195,2019,WEST BENGAL,1570000,41
85,2020,KERALA,81000,11
110,2020,MAHARASHTRA,203000,200
260,2020,ODISHA,6700000,118
130,2020,TAMIL NADU,400000,209
140,2021,BIHAR,299000,210
220,2021,GOA,5700000,398
110,2021,WEST BENGAL,109600,34
120,2022,ANDAMAN AND NICOBAR ISLANDS,507000,703
85,2022,MEGHALAYA,104400,68
100,2022,TAMIL NADU,35400,140
100,2023,ANDHRA PRADESH,176000,60
165,2023,MAHARASHTRA,524000,41
280,2023,MIZORAM,9700000,250
120,2023,TAMIL NADU,367000,17
75,2023,WEST BENGAL,50000,77
